trading_complex,car_type,trans_mode,fuel_type,branch,region,refund,vain_effort,guarantee,selected_color
21세기중고차매매단지,RV,CVT,CNG,강남,강남구,N,N,N,갈색
DY카랜드,SUV,SAT,LPG,강북,강릉시,Y,Y,Y,검정색
M-City 단지,경차,기타,LPG(일반인가능),강서,강서구,,,,노랑색
M모터스프라자,대형,수동,가솔린,광주,거제시,,,,보라색
가양오토갤러리,버스,오토,가솔린+LPG,대구,경산시,,,,빨강색
간석자동차매매단지,소형,,기타,대전,경주시,,,,은색
강남자동차매매단지,스포츠카,,디젤,부산,계양구,,,,주황색
강동자동차매매단지,승합,,전기,수원,고양시 덕양구,,,,진주색
강릉시 개별단지,준중형,,하이브리드(LPG),온라인사업팀,고양시 일산동구,,,,초록색
거제시 개별단지,중형,,하이브리드(가솔린),울산,고양시 일산서구,,,,파랑색
거제자동차매매단지,트럭,,하이브리드(디젤),인천,광명시,,,,회색
경기자동차매매단지,특수,,,전주,광산구,,,,흰색
경매자동차매매단지,,,,창원,구리시,,,,
경매장자동차매매단지,,,,청주,군산시,,,,
경주자동차매매단지,,,,,금정구,,,,
고양시 덕양구 개별단지,,,,,김포시,,,,
고양시 일산서구 개별단지,,,,,김해시,,,,
광명시 개별단지,,,,,남구,,,,
광명자동차매매단지,,,,,남동구,,,,
구리시 개별단지,,,,,남양주시,,,,
국민차매매단지(공항점),,,,,달서구,,,,
국민차매매단지(부천점),,,,,달성군,,,,
군산시 개별단지,,,,,담양군,,,,
군산자동차매매단지,,,,,대덕구,,,,
금사자동차매매단지,,,,,동구,,,,
김해시 개별단지,,,,,동두천시,,,,
김해자동차매매단지,,,,,동해시,,,,
깨끗한자동차매매단지,,,,,목포시,,,,
남구 개별단지,,,,,밀양시,,,,
남동자동차매매단지,,,,,부산진구,,,,
남부매매단지,,,,,부천시 오정구,,,,
남부산오토파크,,,,,부천시 원미구,,,,
남부산자동차매매단지,,,,,부평구,,,,
남부자동차매매단지,,,,,북구,,,,
남수원자동차매매단지,,,,,사상구,,,,
남양주시 개별단지,,,,,사천시,,,,
뉴월드자동차매매단지,,,,,사하구,,,,
다카자동차쇼핑몰,,,,,삼척시,,,,
달서구 개별단지,,,,,서구,,,,
달성군 개별단지,,,,,성남시 분당구,,,,
담양군 개별단지,,,,,성동구,,,,
대구엠월드자동차매매단지,,,,,속초시,,,,
대구오토갤러리,,,,,수원시 권선구,,,,
대덕구 개별단지,,,,,수원시 영통구,,,,
대산자동차매매단지,,,,,수원시 장안구,,,,
대잠자동차매매단지,,,,,순천시,,,,
동구 개별단지,,,,,시흥시,,,,
동두천시 개별단지,,,,,안산시 단원구,,,,
동부자동차종합시장,,,,,안양시 동안구,,,,
동안양자동차매매단지,,,,,안양시 만안구,,,,
동해시 개별단지,,,,,양주시,,,,
등촌자동차매매단지,,,,,양천구,,,,
디오오토갤러리,,,,,여수시,,,,
라성자동차매매단지,,,,,연제구,,,,
마산모터스밸리,,,,,영광군,,,,
마트자동차매매단지,,,,,영천시,,,,
모또자동차매매단지,,,,,완주군,,,,
모빌월드매매단지,,,,,용인시 기흥구,,,,
목포시 개별단지,,,,,용인시 처인구,,,,
밀양시 개별단지,,,,,원주시,,,,
반야월매매단지,,,,,유성구,,,,
반여강변자동차매매단지,,,,,의정부시,,,,
번영매매단지,,,,,이천시,,,,
부산자동차매매단지,,,,,익산시,,,,
부천오토파크,,,,,전주시 덕진구,,,,
북구 개별단지,,,,,전주시 완산구,,,,
북부산단지,,,,,제주시,,,,
북부자동차매매단지,,,,,제천시,,,,
북수원오토파크,,,,,중구,,,,
북수원종합매매단지,,,,,진주시,,,,
북천안자동차매매단지,,,,,창원시 마산회원구,,,,
빛고을오토갤러리,,,,,창원시 성산구,,,,
사상구 개별단지,,,,,창원시 의창구,,,,
사직오토랜드,,,,,천안시 동남구,,,,
사천경남매매단지,,,,,천안시 서북구,,,,
삼성자동차매매단지,,,,,청주시 상당구,,,,
삼척시 개별단지,,,,,청주시 청원구,,,,
새연산자동차매매단지,,,,,청주시 흥덕구,,,,
서부산자동차매매단지,,,,,칠곡군,,,,
서부자동차매매단지,,,,,태백시,,,,
서서울모터리움,,,,,평택시,,,,
서수원자동차매매단지,,,,,포천시,,,,
서이천매매단지,,,,,포항시 남구,,,,
서청주자동차매매단지,,,,,포항시 북구,,,,
성남시 분당구 개별단지,,,,,해운대구,,,,
속초매매단지,,,,,,,,,
속초시 개별단지,,,,,,,,,
솔모루자동차매매단지,,,,,,,,,
수원시 권선구 개별단지,,,,,,,,,
수원오토컬렉션,,,,,,,,,
순천시 개별단지,,,,,,,,,
순천자동차매매단지,,,,,,,,,
시청매매단지,,,,,,,,,
신경주자동차매매단지,,,,,,,,,
신대자동차매매단지,,,,,,,,,
신라1매매단지,,,,,,,,,
신사상자동차매매단지,,,,,,,,,
신월동자동차매매단지(서부),,,,,,,,,
신중앙자동차매매단지,,,,,,,,,
신평자동차매매단지,,,,,,,,,
안산시 단원구 개별단지,,,,,,,,,
안양오토갤러리,,,,,,,,,
양주시 개별단지,,,,,,,,,
엑스포자동차매매단지,,,,,,,,,
엠파크랜드자동차매매단지,,,,,,,,,
엠파크타워자동차매매단지,,,,,,,,,
엠파크허브자동차매매단지,,,,,,,,,
엠플러스,,,,,,,,,
여수시 개별단지,,,,,,,,,
연제자동차매매단지,,,,,,,,,
영광군 개별단지,,,,,,,,,
영천시 개별단지,,,,,,,,,
영통자동차매매단지,,,,,,,,,
오토드림 매매단지,,,,,,,,,
오토밸리매매단지,,,,,,,,,
오토월드,,,,,,,,,
오토월드매매단지,,,,,,,,,
오토캐슬매매단지,,,,,,,,,
오토파크자동차매매단지,,,,,,,,,
오토프라자,,,,,,,,,
오토허브,,,,,,,,,
완주군 개별단지,,,,,,,,,
용인시 기흥구 개별단지,,,,,,,,,
용인오토갤러리,,,,,,,,,
우리오토월드매매단지,,,,,,,,,
우창자동차백화점단지,,,,,,,,,
울산자동차매매단지,,,,,,,,,
원주시 개별단지,,,,,,,,,
원주자동차매매단지,,,,,,,,,
원파크,,,,,,,,,
월드컵자동차매매단지,,,,,,,,,
월평단지,,,,,,,,,
유량자동차매매단지,,,,,,,,,
의정부시 개별단지,,,,,,,,,
이천시 개별단지,,,,,,,,,
이천중고자동차매매단지,,,,,,,,,
익산오토월드단지,,,,,,,,,
인천교자동차매매단지,,,,,,,,,
일신자동차매매단지,,,,,,,,,
자동차1번지매매단지,,,,,,,,,
자동차마을,,,,,,,,,
작전자동차매매단지,,,,,,,,,
장동자동차매매단지,,,,,,,,,
장안모터프라자단지,,,,,,,,,
장안평자동차매매단지,,,,,,,,,
전방자동차매매단지,,,,,,,,,
전북자동차매매단지,,,,,,,,,
전주시 덕진구 개별단지,,,,,,,,,
전주시 완산구 개별단지,,,,,,,,,
제물포자동차매매단지,,,,,,,,,
제일북수원매매단지,,,,,,,,,
제주시 개별단지,,,,,,,,,
제천시 개별단지,,,,,,,,,
주안자동차매매단지,,,,,,,,,
중구 개별단지,,,,,,,,,
중부자동차매매단지,,,,,,,,,
중부종합시장,,,,,,,,,
중앙자동차매매단지(수원),,,,,,,,,
진주자동차매매단지,,,,,,,,,
창원자동차매매전시장(천차만차),,,,,,,,,
천안매매단지,,,,,,,,,
천안중부매매단지,,,,,,,,,
청주시 상당구 개별단지,,,,,,,,,
청주시 청원구 개별단지,,,,,,,,,
청주오토월드매매단지,,,,,,,,,
청주자동차매매단지,,,,,,,,,
칠곡군 개별단지,,,,,,,,,
카마트자동차매매단지,,,,,,,,,
카서울닷컴,,,,,,,,,
태백자동차매매단지,,,,,,,,,
태평양자동차매매단지,,,,,,,,,
팔봉오토파크,,,,,,,,,
팡팡자동차매매단지,,,,,,,,,
포천시 개별단지,,,,,,,,,
포항시 북구 개별단지,,,,,,,,,
포항오토아울렛단지,,,,,,,,,
포항터미널매매단지,,,,,,,,,
풍암자동차매매1단지,,,,,,,,,
풍암자동차매매2단지,,,,,,,,,
풍암자동차매매3단지,,,,,,,,,
하남자동차매매단지,,,,,,,,,
한맥매매단지,,,,,,,,,
한성매매단지,,,,,,,,,
한성자동차매매단지,,,,,,,,,
해운대구 개별단지,,,,,,,,,
